Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2018,Robert and Carol Manegold,Wisconsin,Manufacturing,"Dartmouth College (Hanover, N.H.)",New Hampshire,Colleges and universities,Pledge,"$10,000,000 "
2018,William and Nancy Thompson,Missouri,Finance,Children's Hospital of Orange County (Calif.),California,Health,Gift,"$10,000,000 "
2018,Jon and Beverly Thompson,Florida,Oil,U. of Florida (Gainesville),Florida,Colleges and universities,Gift,"$10,000,000 "
2018,John and Raffaella Belanich,California,Real estate,U. of San Diego,California,Colleges and universities,Gift,"$10,000,000 "
2018,Andy Anderson,Minnesota,Construction,Regis U. (Denver),Colorado,Colleges and universities,Gift,"$10,000,000 "
2018,Boykin family,Ohio,Hotels,Cleveland Clinic,Ohio,Health,Pledge,"$10,000,000 "
2018,Anonymous,,,KEXP (Seattle),Washington,Other groups,Gift,"$10,000,000 "
2018,Kenneth Griffin,Illinois,Finance,U. of Chicago,Illinois,Colleges and universities,Gift,"$10,000,000 "
2018,Preston and Nancy Athey,Texas,"Finance, Health products",Connecticut College (New London),Connecticut,Colleges and universities,Gift,"$10,000,000 "
2018,Anonymous,,,Minnesota Public Radio (St. Paul),Minnesota,Other groups,Gift,"$10,000,000 "
2018,Anonymous,,,U. of Maine (Orono),Maine,Colleges and universities,Gift,"$10,000,000 "
2018,Jim and Carol Collins,California,Food and beverage,California Polytechnic State U. at Pomona,California,Colleges and universities,Gift,"$10,000,000 "
2018,Neil Griffin,Texas,,Arkansas State U. (Jonesboro),Arkansas,Colleges and universities,Gift,"$10,000,000 "
2018,Steve Charles,Virginia,"Consulting, Government",Temple U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$10,000,000 "
2018,Anthony and Jeanne Pritzker Family Foundation (Anthony and Jeanne Pritzker),California,"Family wealth, Investments",U. of California at Los Angeles,California,Colleges and universities,Gift,"$10,000,000 "
2018,Lorry Lokey,Oregon,Media and entertainment,U. of Oregon (Eugene),Oregon,Colleges and universities,Gift,"$10,000,000 "
2018,Steven and Jann Paul,Massachusetts,Biotechnology,Tulane U. (New Orleans),Louisiana,Colleges and universities,Gift,"$10,000,000 "
2018,Frank Joseph Fertitta III and Lorenzo Fertitta,Nevada,"Casinos, Professional Sports",Catholic Charities of Southern Nevada (Las Vegas),Nevada,Human and social services,Gift,"$10,000,000 "
2018,Tawani Foundation (Jennifer Pritzker),Illinois,Family wealth,Loyola U. Chicago,Illinois,Colleges and universities,Pledge,"$10,000,000 "
2018,Carl Bolch Jr. and Susan Bolch,Georgia,Retail,"Duke U. School of Law (Durham, N.C.)",North Carolina,Colleges and universities,Gift,"$10,000,000 "
2018,Robert Smittcamp,California,Food and beverage,"Community Medical Centers (Fresno, Calif.)",California,Health,Gift,"$10,000,000 "
2018,Kevin Durant Charitable Foundation (Kevin Durant),California,Professional Sports,"College Track (District Heights, Md.)",Maryland,Education,Pledge,"$10,000,000 "
2018,Diana Davis Spencer Foundation (Diana Davis Spencer),Maryland,"Family wealth, Finance",Wheaton College (Ill.),Illinois,Colleges and universities,GiftPledge,"$10,000,000 "
2018,Anonymous,,,U. of Maryland at College Park,Maryland,Colleges and universities,Gift,"$10,000,000 "
2018,Farmer Family Foundation (Scott Farmer),Ohio,Manufacturing,Cincinnati Cancer Center,Ohio,Health,Gift,"$10,000,000 "
2018,Stephen Schwarzman,New York,Finance,National Library of Israel,,Museums and libraries,Gift,"$10,000,000 "
2018,Schmidt Family Foundation (Barbara and Richard Schmidt),Florida,Family wealth,Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,"$10,000,000 "
2018,Stanley and Marilyn Barry,Florida,"Family wealth, Real estate",Boca Raton Regional Hospital Foundation (Fla.),Florida,Health,Gift,"$10,000,000 "
2018,Anonymous,,,High Point U. (N.C.),North Carolina,Colleges and universities,Gift,"$10,000,000 "
2018,Blavatnik Family Foundation (Leonard Blavatnik),New York,Investments,Columbia U. (New York),New York,Colleges and universities,Gift,"$10,000,000 "
2018,Leonard Samia,Massachusetts,Real estate,Suffolk U. (Boston),Massachusetts,Colleges and universities,Pledge,"$10,000,000 "
2018,Robert and Cindy Peterson,Oklahoma,Transportation,"Gustavus Adolphus College (St. Peter, Minn.)",Minnesota,Colleges and universities,Gift,"$10,000,000 "
2018,Jean Hower Taber,Ohio,"Family wealth, Food and beverage",Cleveland Orchestra,Ohio,Arts,Bequest,"$9,300,000 "
2018,Anonymous,,,Planned Parenthood of Greater Texas (Dallas),Texas,Health,Gift,"$9,000,000 "
2018,Arthur and Toni Rembe Rock,California,Finance,California Academy of Sciences (San Francisco),California,Colleges and universities,Gift,"$9,000,000 "
2018,Ernest Tschannen,California,Real estate,California State U. at Sacramento,,Colleges and universities,Gift,"$9,000,000 "
2018,William Bethune,North Carolina,Education,"Cumberland Community Foundation (Fayetteville, N.C.)",North Carolina,Community foundations,Bequest,"$8,500,000 "
2018,Mary Hoppe,Texas,Health care,Saint Louis U.,Missouri,Colleges and universities,Bequest,"$8,400,000 "
2018,Seymour Bluestone,New York,Health care,"Brandeis U. (Waltham, Mass.)",Massachusetts,Colleges and universities,Bequest,"$8,400,000 "
2018,Scott and Cindy Heider,Nebraska,Finance,Creighton Preparatory School (Omaha),Nebraska,Education,GiftChallenge,"$8,000,000 "
2018,Chaney Family Foundation (James B. and JeanAnne Chaney),Ohio,Industry,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,Gift,"$8,000,000 "
2018,John H. Schnatter Family Foundation (John and Annette Schnatter),Kentucky,Food and beverage,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,Gift,"$8,000,000 "
2018,Anonymous,,,"Wayland Baptist U. (Plainview, Tex.)",Texas,Colleges and universities,GiftUnrestricted,"$8,000,000 "
2018,Willard and Pat Walker Charitable Foundation (Pat Walker),Arkansas,Retail,Arkansas Children's Hospital (Little Rock),Arkansas,Health,Bequest,"$8,000,000 "
2018,Stephen and Barbara Friedman,New York,Finance,Weill Medical College of Cornell U. (New York),New York,Colleges and universities,Gift,"$7,500,000 "
2018,John Ed and Isabel Anthony,Arkansas,Industry,U. of Arkansas at Fayetteville,Arkansas,Colleges and universities,Gift,"$7,500,000 "
2018,Bob and Sue Douthit O'Connell,,,"Denison U. (Granville, Ohio)",Ohio,Colleges and universities,Gift,"$7,500,000 "
2018,Ballmer Group (Steve and Connie Ballmer),Washington,Technology,Martin Luther King Jr. Community Hospital (Los Angeles),California,Health,Gift,"$7,500,000 "
2018,Lavon Brosseau,Kansas,Investments,U. of Kansas (Lawrence),Kansas,Colleges and universities,Bequest,"$7,400,000 "
2018,Henry B. and Patricia Bush Tippie,Texas,"Agriculture, Entertainment, Investments","Allegheny College (Meadville, Pa.)",Pennsylvania,Colleges and universities,ChallengeGift,"$7,000,000 "
2018,Anonymous,,,"Edgewood College (Madison, Wis.)",Wisconsin,Colleges and universities,Pledge,"$7,000,000 "
2018,Carl Dudrey,Kansas,Finance,Sterling College (Kan.),Kansas,Colleges and universities,Bequest,"$7,000,000 "
2018,Nita Giles,Oklahoma,Law,U. of Science and Arts of Oklahoma (Chickasha),Oklahoma,Colleges and universities,Bequest,"$7,000,000 "
2018,Pamela Zilly,New York,Finance,Connecticut College (New London),Connecticut,Colleges and universities,Gift,"$7,000,000 "
2018,Anonymous,,,"Artists Repertory Theatre (Portland, Ore.)",Oregon,Arts,GiftUnrestricted,"$7,000,000 "
2018,Jim Rosengren,Texas,Health care,U. of South Florida (Tampa),Florida,Colleges and universities,Pledge,"$6,600,000 "
2018,Michael and Jodi Price,California,Finance,U. of California at Los Angeles,California,Colleges and universities,Gift,"$6,500,000 "
2018,Joseph and Linda Chlapaty,Ohio,Manufacturing,American Heart Association (Dallas),Texas,Health,Gift,"$6,250,000 "
2018,Sylvia Bloom,New York,Investments,Henry Street Settlement (New York),New York,Education,Bequest,"$6,240,000 "
2018,Merle and Deloris Peterson,Arkansas,Retail,U. of Arkansas at Monticello (Little Rock),Arkansas,Colleges and universities,BequestEstimatedUnrestricted,"$6,000,000 "
2018,Michael Arnolt,Indiana,Health care,Indiana U. at Bloomington,Indiana,Colleges and universities,Gift,"$6,000,000 "
2018,Ken and Grace Evenstad,Oregon,Food and beverage,"Linfield College (McMinnville, Ore.)",Oregon,Colleges and universities,Pledge,"$6,000,000 "
2018,Nicole Shanahan,California,"Law, Technology","Buck Institute for Research on Aging (Novato, Calif.)",California,Health,Gift,"$6,000,000 "
2018,Amy and David Krohn,Virginia,Chemicals,Cleveland Clinic in Florida (Weston),Florida,Health,Pledge,"$6,000,000 "
2018,Jack and Mary DeWitt,Michigan,Food and beverage,"Northwestern College (Orange City, Iowa)",Iowa,Colleges and universities,Gift,"$6,000,000 "
2018,Anonymous,,,"Brown U. (Providence, R.I.)",Rhode Island,Colleges and universities,Gift,"$6,000,000 "
2018,Dean Scarborough and Janice Bini,California,Manufacturing,Hiram College (Ohio),Ohio,Colleges and universities,Gift,"$6,000,000 "
2018,Sturm Family Foundation (Donald L. and Susan Sturm),Colorado,Finance,Denver Art Museum,Colorado,Arts,Gift,"$6,000,000 "
2018,Robert and Sue O'Donnell,California,Finance,"Denison U. (Granville, Ohio)",Ohio,Colleges and universities,Gift,"$5,700,000 "
2018,Martin Jacobson,Connecticut,Retail,U. of Massachusetts at Amherst,Massachusetts,Colleges and universities,Pledge,"$5,580,000 "
2018,Martin Jacobson,Connecticut,Retail,U. of Massachusetts at Amherst,Massachusetts,Colleges and universities,Pledge,"$5,580,000 "
2018,William and Sarah Ross Soter,Florida,,American Heart Association (Dallas),Texas,Health,Gift,"$5,200,000 "
2018,Ross and Margot Perot,Texas,Technology,Perot Museum of Nature & Science (Dallas),Texas,Museums and libraries,Gift,"$5,000,000 "
2018,Stephen Schwarzman,New York,Finance,"Harvard Business School (Cambridge, Mass.)",Massachusetts,Colleges and universities,Gift,"$5,000,000 "
2018,Clifford and Leslie Hudson,Oklahoma,Food and beverage,U. of Oklahoma (Norman),Oklahoma,Colleges and universities,Gift,"$5,000,000 "
2018,Jane Lombard,New York,Retail,"New School, in New York",New York,Colleges and universities,Gift,"$5,000,000 "
2018,Richard and Mary Templeton,Texas,Technology,Southern Methodist U. (Dallas),Texas,Colleges and universities,Pledge,"$5,000,000 "
2018,Andy and Sandy Ross,Ohio,Law,"WOSU Public Media (Columbus, Ohio)",Ohio,Other groups,Pledge,"$5,000,000 "
2018,Marvin and Helaine Lender,Connecticut,Food and beverage,Syracuse U. (N.Y.),New York,Colleges and universities,Gift,"$5,000,000 "
2018,Joseph Cordell,Missouri,Law,Washington U. in St. Louis School of Law,Missouri,Colleges and universities,Pledge,"$5,000,000 "
2018,Bill and Ericka Cain,North Carolina,Insurance,Cornelius Art Center (N.C.),North Carolina,Arts,Gift,"$5,000,000 "
2018,Ann Bowers,Texas,Technology,Chamber Music Society of Lincoln Center (New York),New York,Arts,Gift,"$5,000,000 "
2018,Gary and Pennie Abramson,Maryland,Real estate,American U. (Washington),District of Columbia,Colleges and universities,Gift,"$5,000,000 "
2018,John Cochran III and Patricia Cochran,Delaware,Finance,U. of Delaware (Newark),Delaware,Colleges and universities,Pledge,"$5,000,000 "
2018,Anonymous,,,Wichita State U. Foundation (Kan.),Kansas,Colleges and universities,Pledge,"$5,000,000 "
2018,Edward and Sandy Burr,California,Industry,Sharp HealthCare Foundation (San Diego),California,Health,Gift,"$5,000,000 "
2018,Russ and Dawn Smyth,Illinois,Marketing,"Lewis U. (Romeoville, Ill.)",Illinois,Colleges and universities,Pledge,"$5,000,000 "
2018,Emily Rauh Pulitzer,Missouri,"Family wealth, Media and entertainment",Bryn Mawr College (Pa.),Pennsylvania,Colleges and universities,Pledge,"$5,000,000 "
2018,David and Stevie Spina,Massachusetts,Finance,American Heart Association (Dallas),Texas,Health,Gift,"$5,000,000 "
2018,Carl Dudrey,Kansas,Finance,"Rice County Community Foundation (Lyons, Kan.)",Kansas,Community foundations,Bequest,"$5,000,000 "
2018,G. Bradford Jones,California,Finance,California Institute of Technology (Pasadena),California,Colleges and universities,Gift,"$5,000,000 "
2018,Anonymous,,,"LifeCare Alliance (Columbus, Ohio)",Ohio,Human and social services,GiftChallenge,"$5,000,000 "
2018,Henry Swigert,Oregon,Industry,"Good Samaritan Foundation (Portland, Ore.)",Oregon,Health,GiftUnrestricted,"$5,000,000 "
2018,Anonymous,,,Criswell College (Dallas),,Colleges and universities,Gift,"$5,000,000 "
2018,Jack and Vickie Farber,Pennsylvania,Education,Wills Eye Hospital (Philadelphia),Pennsylvania,Health,Gift,"$5,000,000 "
2018,Christopher B. Galvin Family Foundation (Christopher B. Galvin),Illinois,Finance,Joffrey Ballet (Chicago),Illinois,Arts,Gift,"$5,000,000 "
2018,C. Kenneth Wright,Virginia,Transportation,Virginia War Memorial Foundation (Richmond),Virginia,Museums and libraries,Gift,"$5,000,000 "
2018,Kim Kuehner,Missouri,Retail,Center of Creative Arts (St. Louis),Missouri,Arts,Gift,"$5,000,000 "
2018,George and Carol Bauer,Connecticut,Technology,Washington U. School of Medicine in St. Louis,Missouri,Colleges and universities,Gift,"$5,000,000 "
2018,Brian Sheth and Nate Paul,Texas,Finance,"Waller Creek Conservancy (Austin, Tex.)",Texas,Other groups,Gift,"$5,000,000 "
2018,Bedford Falls Foundation (William E. and Joanne Barkett Conway),Virginia,Finance,U. of Virginia School of Nursing (Charlottesville),Virginia,Colleges and universities,Gift,"$5,000,000 "
2018,Tom and Judy Love Foundation (Tom and Judy Love),Oklahoma,Retail,U. of Oklahoma (Norman),Oklahoma,Colleges and universities,Gift,"$5,000,000 "
2018,Keith and Linda Monda,New York,Retail,"Florida State U., John and Mable Ringling Museum of Art (Sarasota)",Florida,Colleges and universities,Gift,"$5,000,000 "
2018,Joe and Bobby May,Virginia,Technology,Virginia Tech (Blacksburg),Virginia,Colleges and universities,Gift,"$5,000,000 "
2018,Anonymous,,,Meals On Wheels Ohio (Columbus),Ohio,Human and social services,GiftChallenge,"$5,000,000 "
2018,Broad Foundations (Eli and Edythe L. Broad),California,Real estate,California Institute of Technology (Pasadena),California,Colleges and universities,Gift,"$5,000,000 "
2018,Charles G. Koch Charitable Foundation (Charles G. Koch),Virginia,Industry,"George Mason U. (Fairfax, Va.)",Virginia,Colleges and universities,Gift,"$5,000,000 "
2018,Rob and Jennifer Waldron,Massachusetts,Education,Jumpstart (Boston),Massachusetts,Education,UnrestrictedPledge,"$5,000,000 "
2018,Pine,,,"Open Medicine Foundation (Agoura Hills, Calif.)",California,Health,Gift,"$5,000,000 "
2018,Mickey Hughes,Virginia,,"Western Carolina U. (Cullowhee, N.C.)",North Carolina,Colleges and universities,Pledge,"$5,000,000 "
2018,Stu and Nancy Levenick,Illinois,Construction,U. of Illinois at Urbana-Champaign,Illinois,Colleges and universities,Gift,"$5,000,000 "
2018,Robert and Joan Feitler,Illinois,Manufacturing,U. of Chicago,Illinois,Colleges and universities,Gift,"$5,000,000 "
2018,Larry and Deirdre Solari,Ohio,Manufacturing,San Jose State U. (Calif.),California,Colleges and universities,Gift,"$5,000,000 "
2018,Seth and Beth Klarman,Massachusetts,Finance,Spelman College (Atlanta),Georgia,Colleges and universities,Gift,"$5,000,000 "
2018,Seth and Beth Klarman,Massachusetts,Finance,Spelman College (Atlanta),Georgia,Colleges and universities,Gift,"$5,000,000 "
2018,Ron and Kathy Assaf,Florida,Technology,"Nova Southeastern U. (Ft. Lauderdale, Fla.)",Florida,Colleges and universities,Gift,"$5,000,000 "
2018,Sallie Robinson Wadsworth,Ohio,Family wealth,Taft Museum of Art (Cincinnati),Ohio,Museums and libraries,Bequest,"$5,000,000 "
2018,Timothy and Jayne Donahue,Florida,Telecommunications,Jupiter Medical Center Foundation (Fla.),Florida,Health,Gift,"$5,000,000 "
2018,Pine,,,GiveDirectly (New York),New York,International,Gift,"$5,000,000 "
2018,Paul Phillips and Sharon Sullivan,New York,Health care,"Everson Museum of Art (Syracuse, N.Y.)",New York,Museums and libraries,Gift,"$4,800,000 "
2018,Bill and Kathy Scripps,California,"Family wealth, Media and entertainment",U. of California at San Diego,California,Colleges and universities,Gift,"$4,600,000 "
2018,Ray and Nancy Ann Hunt,Texas,Oil,C.C. Young (Dallas),Texas,Health,GiftMatching,"$4,500,000 "
2018,Michael Bloomberg,New York,Media and entertainment,United Nations (New York),New York,International,Gift,"$4,500,000 "
2018,James Morris,Oregon,Health care,Ohio Wesleyan U. (Delaware),Ohio,Colleges and universities,Bequest,"$4,500,000 "
2018,Charles H. (Skip) Smith,Pennsylvania,,Pennsylvania State U. (University Park),Pennsylvania,Colleges and universities,Gift,"$4,500,000 "
2018,Emmett Family Foundation (Dan and Rae Emmett),California,Real estate,U. of California at Los Angeles School of Law,California,Colleges and universities,Gift,"$4,300,000 "
2018,Tom and Karen Rutledge,Connecticut,Telecommunications,California U. of Pennsylvania,Pennsylvania,Colleges and universities,Gift,"$4,200,000 "
2018,Dale and Sherri Holt,Utah,Manufacturing,Westminster College (Utah),Utah,Colleges and universities,GiftNoncash,"$4,100,000 "
2018,Richardson Foundation (Jerry Richardson),South Carolina,Professional Sports,"Limestone College (Gaffney, S.C.)",South Carolina,Colleges and universities,Gift,"$4,100,000 "
2018,Anonymous,,,U. of Houston,Texas,Colleges and universities,Gift,"$4,000,000 "
2018,John Turner and Jerry Fischer,Louisiana,Construction,Louisiana State U. (Baton Rouge),Louisiana,Colleges and universities,Gift,"$4,000,000 "
2018,Greg and Anna Brown,Illinois,Telecommunications,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,Gift,"$4,000,000 "
2018,Matt and Karen Cullen,Michigan,"Casinos, Hotels",Detroit RiverFront Conservancy,Michigan,Other groups,Gift,"$4,000,000 "
2018,Kenneth C. Griffin Charitable Fund (Kenneth Griffin),Illinois,Finance,"Norton Museum of Art (West Palm Beach, Fla.)",Florida,Arts,Gift,"$4,000,000 "
2018,Paul Wachholz,Montana,Real estate,"Flathead Valley Community College (Kalispell, Mont.)",Montana,Colleges and universities,Gift,"$4,000,000 "
2018,Sunderland Foundation (Kent Sunderland),Kansas,Industry,Kansas City Art Institute (Mo.),Missouri,Colleges and universities,Gift,"$4,000,000 "
2018,Brook J. Lenfest Foundation (Brook Lenfest),Pennsylvania,"Family wealth, Telecommunications",Temple U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$4,000,000 "
2018,William Lauder,New York,"Family wealth, Retail","U. of Pennsylvania, Wharton School (Philadelphia)",Pennsylvania,Colleges and universities,Pledge,"$4,000,000 "
2018,Pine,,,"Multidisciplinary Association for Psychedelic Studies (Santa Cruz, Calif.)",California,Health,Gift,"$4,000,000 "
2018,Philip Anschutz,Colorado,"Professional Sports, Real estate","St. Simons Land Trust (St. Simons Island, Ga.)",Georgia,Conservation and the environment,GiftChallenge,"$4,000,000 "
2018,Lester Vesell,California,,U. of San Diego,California,Colleges and universities,Bequest,"$3,900,000 "
2018,Christopher Martin,New Jersey,Finance,Elon U. (N.C.),North Carolina,Colleges and universities,Pledge,"$3,600,000 "
2018,Michael Stephens,Alabama,Investments,"U. of Montevallo (Montevallo , Ala.)",Alabama,Colleges and universities,Bequest,"$3,600,000 "
2018,Peter and Susan Schottland,New York,Manufacturing,YMCA of Greater Rochester (N.Y.),New York,Human and social services,Gift,"$3,500,000 "
2018,William Wilkie,Iowa,Education,"Loras College (Dubuque, Iowa)",Iowa,Colleges and universities,Bequest,"$3,200,000 "
2018,Greg Heckman,Nebraska,Agriculture,U. of Illinois at Urbana-Champaign,Illinois,Colleges and universities,Gift,"$3,100,000 "
2018,Shaw Wagener and Deborah Heitz,California,Finance,"Bates College (Lewiston, Me.)",Maine,Colleges and universities,Gift,"$3,000,000 "
2018,Bezos family,Washington,"Retail, Technology",U. of Washington (Seattle),Washington,Colleges and universities,Gift,"$3,000,000 "
2018,Hal and Kathy Greshman,North Dakota,Retail,U. of North Dakota (Grand Forks),North Dakota,Colleges and universities,Gift,"$3,000,000 "
2018,Jim and Linda McNatt,Texas,Retail,U. of North Texas (Denton),Texas,Colleges and universities,Gift,"$3,000,000 "
2018,Alan and Peggy Scantland,Ohio,"Health care, Technology","Earlham College (Richmond, Ind.)",Indiana,Colleges and universities,Pledge,"$3,000,000 "
2018,Roland Parrish,Texas,Food and beverage,Fisk U. (Nashville),Tennessee,Colleges and universities,Gift,"$3,000,000 "
2018,Robert Finizio,Florida,Health products,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,Gift,"$3,000,000 "
2018,Anonymous,,,U. of Houston,Texas,Colleges and universities,Gift,"$3,000,000 "
2018,Robert and Dorothy Webb,California,Engineering,"U. of California at Los Angeles, Henry Samueli School of Engineering and Applied Science",California,Colleges and universities,Gift,"$3,000,000 "
2018,van Beuren Charitable Foundation (Hope (Happy) van Beuren),Rhode Island,"Family wealth, Food and beverage",Newport Hospital (R.I.),Rhode Island,Health,Gift,"$3,000,000 "
2018,Sacred Harvest Foundation (Steven and Susie Perry),California,Finance,Azusa Pacific U. (Calif.),California,Colleges and universities,Gift,"$3,000,000 "
2018,Barbara Fried,Virginia,Real estate,U. of Virginia (Charlottesville),Virginia,Colleges and universities,Gift,"$3,000,000 "
2018,Mike and Mickie Krzyzewski,North Carolina,Professional Sports,"Emily Krzyzewski Center (Durham, N.C.)",North Carolina,Education,Gift,"$3,000,000 "
2018,Daniel and Brett Sundheim,New York,Investments,"U. of Pennsylvania, Institute of Contemporary Art (Philadelphia)",Pennsylvania,Colleges and universities,Gift,"$3,000,000 "
2018,Dave Power,California,Marketing,"College of the Holy Cross (Worcester, Mass.)",Massachusetts,Colleges and universities,Gift,"$3,000,000 "
2018,Anonymous,,,U. of North Carolina School of the Arts (Winston-Salem),North Carolina,Colleges and universities,Bequest,"$3,000,000 "
2018,Leonard Schaeffer,California,Insurance,"Rand Corporation (Santa Monica, Calif.)",California,Other groups,Gift,"$3,000,000 "
2018,John and Sue Wieland,Georgia,"Construction, Real estate",Amherst College (Mass.),Massachusetts,Colleges and universities,Gift,"$3,000,000 "
2018,Harvey and Carol Massey Foundation (Harvey and Carol Massey),Florida,Industry,Dr. Phillips Orlando Performing Arts Center (Fla.),Florida,Arts,Gift,"$3,000,000 "
2018,Kevin Durant,California,Professional Sports,U. of Texas at Austin,Texas,Colleges and universities,Gift,"$3,000,000 "
2018,Laura and John Arnold Foundation (John and Laura Arnold),Texas,"Energy, Finance",U. of California at Los Angeles,California,Colleges and universities,Gift,"$2,850,000 "
2018,Laura and John Arnold Foundation (John and Laura Arnold),Texas,"Energy, Finance",U. of California at Berkeley,California,Colleges and universities,Gift,"$2,650,000 "
2018,Chris Paul,Texas,Professional Sports,"Wake Forest U. (Winston-Salem, N.C.)",North Carolina,Colleges and universities,Gift,"$2,500,000 "
2018,Sally Birge,California,Real estate,U. of North Carolina at Asheville,North Carolina,Colleges and universities,Bequest,"$2,500,000 "
2018,David Le Norman,Oklahoma,Energy,U. of Wyoming (Laramie),Wyoming,Colleges and universities,GiftMatching,"$2,500,000 "
2018,Anonymous,,,"Flathead Valley Community College (Kalispell, Mont.)",Montana,Colleges and universities,Gift,"$2,500,000 "
